id	article	journal	year
21218	How to Select the System Voltage of MV Drives - A Comparison of Semiconductor Expenses.		2008
21219	Multilevel Multisensor-Based Intelligent Recharging System for Mobile Robot.		2008
21220	Development of a New Permanent-Magnet BLDC Generator Using 12-Phase Half-Wave Rectifier.		2009
21221	A Review of Current Issues in Lightning Protection of New-Generation Wind-Turbine Blades.		2008
21222	Evaluation of Eddy-Current Effects on Diamagnetic Bearings for Microsystems.		2009
21223	Development of a Comprehensive Model and a Multiloop Controller for Z-Source Inverter DG Systems.		2007
21224	Grid-Connected Photovoltaic System With Power Factor Correction.		2008
21225	Implementation of a Highly Reliable Hybrid Electric Scooter Drive.		2007
21226	Development and Testing of Wavelet Modulation for Single-Phase Inverters.		2009
21227	Overview of Permanent-Magnet Brushless Drives for Electric and Hybrid Electric Vehicles.		2008
21228	"Regenerating-Mode Stabilization of the ""Statically Compensated Voltage Model""."		2007
21229	Torque Ripple and EMI Noise Minimization in PMSM Using Active Filter Topology and Field-Oriented Control.		2008
21230	A Practical Transformer Core Loss Measurement Scheme for High-Frequency Power Converter.		2008
21231			2006
21232	The Current and Voltage Phase Shift Regulation in Resonant Converters With Integration Control.		2007
21233	Capacitor-Based Multisource of Flyback-Type Power Collector.		2008
21234	Improvements of Juang 's Password-Authenticated Key Agreement Scheme Using Smart Cards.		2009
21235	Decoupled Current Control of Sensorless Induction-Motor Drives by Integral Sliding Mode.		2008
21236	Infinite-Mode Networks for Motion Control.		2009
21237	A Fast-Response Sliding-Mode Controller for Boost-Type Converters With a Wide Range of Operating Conditions.		2007
21238	Acquisition and Analysis of Finger Motions by Skill Preservation System.		2007
21239	Neural Controller for UPS Inverters Based on B-Spline Network.		2008
21240	Development of an Automatic Stencil Inspection System Using Modified Hough Transform and Fuzzy Logic.		2007
21241	Multidimensional feedforward compensator for industrial systems through pole assignment regulator and observer.		2006
21242	A New Switching Strategy for Pulse Width Modulation (PWM) Power Converters.		2007
21243	High-Speed Control of IPMSM Drives Using Improved Fuzzy Logic Algorithms.		2007
21244	A Stabilization Control of Bilateral System With Time Delay by Vibration Index - Application to Inverted Pendulum Control.		2009
21245	Paralleling magamp-postregulator modules with sliding-mode-control method.		2006
21246	Hybrid Full-Bridge Three-Level LLC Resonant Converter - A Novel DC-DC Converter Suitable for Fuel-Cell Power System.		2006
21247	A New Approach to the Development of Genetically Optimized Multilayer Fuzzy Polynomial Neural Networks.		2006
21248	Controlled AC Electrical Drives.		2008
21249	A Complex Space Vector Approach to Rotor Temperature Estimation for Line-Connected Induction Machines With Impaired Cooling.		2009
21250	A Single Synchronous Frame Hybrid (SSFH) Multifrequency Controller for Power Active Filters.		2006
21251	Current-source-rectifier topologies for sinusoidal supply current: theoretical studies and analyses.		2006
21252	High-Performance Control of Dual-Inertia Servo-Drive Systems Using Low-Cost Integrated SAW Torque Transducers.		2006
21253	Applications of Microelectromechanical Systems in Industrial Processes and Services.		2009
21254	A Hybrid Fuel Cell Power System.		2009
21255	Design aspects of a switch-mode transformer under wide input voltage variation.		2006
21256	RRO Compensation of Hard Disk Drives With Multirate Repetitive Perfect Tracking Control.		2009
21257	Robust Neural-Fuzzy-Network Control for Robot Manipulator Including Actuator Dynamics.		2006
21258	Novel encoder for switching angle control of SRM.		2006
21259	A Modified Harmonics Reduction Technique for a Three-Phase Controlled Converter.		2008
21260	Spatial Memory as an Aid System for Human Activity in Intelligent Space.		2007
21261	Smart-Optical Detector CMOS Array for Biochemical Parameters Analysis in Physiological Fluids.		2008
21262	Closed-Loop Control of a Three-Phase Neutral-Point-Clamped Inverter Using an Optimized Virtual-Vector-Based Pulsewidth Modulation.		2008
21263	Steady-State and Dynamic Study of Active Power Filter With Efficient FPGA-Based Control Algorithm.		2008
21264	Linear Quadratic Optimal Discrete-Time Sliding-Mode Controller for Connection-Oriented Communication Networks.		2008
21265	A Comparative Study of Medium-Voltage Power Converter Topologies for Plasma Torch Under Dynamic Operating Conditions.		2009
21266	Vision-Based Target Tracking and Collision Avoidance for Two Autonomous Robotic Fish.		2009
21267	Linear Permanent Magnet Oscillatory Machine: Comprehensive Modeling for Transients With Validation by Experiments.		2008
21268	A Novel Strategy of Efficiency Control for a Linear Compressor System Driven by a PWM Inverter.		2008
21269	Design and Performance Tuning of Sliding-Mode Controller for High-Speed and High-Accuracy Positioning Systems in Disturbance Observer Framework.		2009
21270	A Single-Phase Voltage-Controlled Grid-Connected Photovoltaic System With Power Quality Conditioner Functionality.		2009
21271	Stability Analysis of a Wind Energy Conversion System Based on a Doubly Fed Induction Generator Fed by a Matrix Converter.		2009
21272	Decentralized Control for Parallel Operation of Distributed Generation Inverters Using Resistive Output Impedance.		2007
21273	Topology Study of Photovoltaic Interface for Maximum Power Point Tracking.		2007
21274	Comments on Active Disturbance Rejection Control.		2007
21275	Drive-Mode Control for Vibrational MEMS Gyroscopes.		2009
21276	A New PWM Strategy Based on a 24-Sector Vector Space Decomposition for a Six-Phase VSI-Fed Dual Stator Induction Motor.		2008
21277	Single-Phase Uninterruptible Power Supply Based on Z-Source Inverter.		2008
21278	DC-Link Stabilization and Voltage Sag Ride-Through of Inverter Drives.		2006
21279	Integration of a Wireless I/O Interface for PROFIBUS and PROFINET for Factory Automation.		2009
21280			2008
21281	Application of Artificial Neural Network to Robust Speed Control of Servodrive.		2007
21282	Design and Test of a High-Power High-Efficiency Loosely Coupled Planar Wireless Power Transfer System.		2009
21283	Learning Human Navigational Skill for Smart Wheelchair in a Static Cluttered Route.		2006
21284	Reduced Thermal Model of an Induction Machine for Real-Time Thermal Monitoring.		2008
21285	A hybrid speed estimator of flux observer for induction motor drives.		2006
21286	A Study on Predicting Hazard Factors for Safe Driving.		2007
21287	Motion Control of Linear Induction Motor via Petri Fuzzy Neural Network.		2007
21288	Space Vector Based Hybrid PWM Techniques for Reduced Current Ripple.		2008
21289	Multilevel Voltage-Source-Converter Topologies for Industrial Medium-Voltage Drives.		2007
21290	Effect of Zero-Vector Placement in a Dual-Inverter Fed Open-End Winding Induction-Motor Drive With a Decoupled Space-Vector PWM Strategy.		2008
21291	ZOH Discretization Effect on Higher-Order Sliding-Mode Control Systems.		2008
21292	A Design of a Grey-Predicted Li-Ion Battery Charge System.		2008
21293	Modular Approach to Teaching PID Control.		2007
21294	Predicting Future States With n -Dimensional Markov Chains for Fault Diagnosis.		2009
21295	Exploiting Backbone Routing Redundancy in Industrial Wireless Systems.		2009
21296	A Three-Level Hysteresis Function Approach to the Sliding-Mode Control of Single-Phase UPS Inverters.		2009
21297	Application of Centered Differentiation and Steepest Descent to Maximum Power Point Tracking.		2007
21298	Analysis Results of Output Power Loss Due to the Grid Voltage Rise in Grid-Connected Photovoltaic Power Generation Systems.		2008
21299	FPGA-Based Decentralized Control of Arrayed MEMS for Microrobotic Application.		2007
21300	DSP-Based Implementation of an LQR With Integral Action for a Three-Phase Three-Wire Shunt Active Power Filter.		2009
21301	A Remote-Control Engineering Laboratory.		2008
21302	Fast Tracking of Time-Varying Power System Frequency and Harmonics Using Iterative-Loop Approaching Algorithm.		2007
21303	Microprocessor-Based Fuzzy Decentralized Control of 2-D Piezo-Driven Systems.		2008
21304	A Tunable Analog Conditioning Circuit Applied to Magnetoresistive Sensors.		2008
21305	Virtual-Environment Modeling and Correction for Force-Reflecting Teleoperation With Time Delay.		2007
21306	"Comments on ""Lagrangian Modeling and Passivity-Based Control of Three-Phase AC/DC Voltage-Source Converters""."		2008
21307	Optimization Design of High-Voltage-Balancing Circuit Based on the Functional Model of IGCT.		2007
21308	High-Efficiency Fuel Cell Power Conditioning System With Input Current Ripple Reduction.		2009
21309	Model-Reference Control Approach to Obstacle Avoidance for a Human-Operated Mobile Robot.		2009
21310	A Novel Traction Control for EV Based on Maximum Transmissible Torque Estimation.		2009
21311	Application of Speed and Load Torque Observers in High-Speed Train Drive for Diagnostic Purposes.		2009
21312	Multilevel Inverter Topologies for Stand-Alone PV Systems.		2008
21313	Multilevel Inverter For Grid-Connected PV System Employing Digital PI Controller.		2009
21314	Negative Input-Resistance Compensator for a Constant Power Load.		2007
21315	Overview of Control and Grid Synchronization for Distributed Power Generation Systems.		2006
21316	Analog Implementation of a Robust Control Strategy for Mechanical Systems.		2009
21317	Posicast-based digital control of the buck converter.		2006
21318	Design of a Power Piezoelectric Transformer for a PFC Electronic Ballast.		2007
21319	Development and Implementation of a Novel Fault Diagnostic and Protection Technique for IPM Motor Drives.		2009
21320	Multirate Sampling Method for Acceleration Control System.		2007
21321	A Coupled Thermal-Electromagnetic Analysis for a Rapid and Accurate Prediction of IM Performance.		2008
21322	Design and Implementation of RGB LED Drivers for LCD Backlight Modules.		2009
21323	Current Sensor Fault-Tolerant Control for WECS With DFIG.		2009
21324	Modeling and Coordinate Control of Circulating Currents in Parallel Three-Phase Boost Rectifiers.		2007
21325	Design and Training for Combinational Neural-Logic Systems.		2007
21326	Zero-Voltage Switching and Soft-Commutating Two-Transformer Full-Bridge PWM Converter Using the Voltage-Ripple.		2008
21327	Proposal of a Soft-Switching Single-Phase Three-Level Rectifier.		2008
21328	Voltage-Balance Compensator for a Carrier-Based Modulation in the Neutral-Point-Clamped Converter.		2009
21329	A ZVS PWM Half-Bridge Voltage Source Inverter With Active Clamping.		2007
21330	From Remote Experiments to Web-Based Learning Objects: An Advanced Telelaboratory for Robotics and Control Systems.		2009
21331	Predictive Control in Power Electronics and Drives.		2008
21332	Output Feedback Sliding-Mode Control for Uncertain Systems Using Fast Output Sampling Technique.		2006
21333	Robust Discrete-Time Model Reference Sliding-Mode Controller Design With State and Disturbance Estimation.		2008
21334	A New Bearing Fault Detection Method in Induction Machines Based on Instantaneous Power Factor.		2008
21335	High-Performance Transformerless Online UPS.		2008
21336	High-Quality Power Generation Through Distributed Control of a Power Park Microgrid.		2006
21337	Polygon-Connected Autotransformer-Based 24-Pulse AC-DC Converter for Vector-Controlled Induction-Motor Drives.		2008
21338	Current-Pumped Battery Charger.		2008
21339	Novel Forward-Flyback Hybrid Bidirectional DC-DC Converter.		2009
21340	Design of an Analog Quasi-Steady-State Nonlinear Current-Mode Controller for Single-Phase Active Power Filter.		2009
21341	A New Critical Formula and Mathematical Model of Double-Tap Interphase Reactor in a Six-Phase Tap-Changer Diode Rectifier.		2007
21342	Improving Disturbance-Rejection Performance Based on an Equivalent-Input-Disturbance Approach.		2008
21343	Development of an eddy-current-type magnetic floor hinge.		2006
21344	An improved flux observer based on PLL frequency estimator for sensorless vector control of induction motors.		2006
21345	Robust Smooth-Trajectory Control of Nonlinear Servo Systems Based on Neural Networks.		2007
21346	Hexagram Inverter for Medium-Voltage Six-Phase Variable-Speed Drives.		2008
21347	Designing VRM Hysteretic Controllers for Optimal Transient Response.		2007
21348	A Comparison of Control Algorithms for DSTATCOM.		2009
21349	Feedforward Control Using Sampled-Data Polynomial for Track Seeking in Hard Disk Drives.		2009
21350	Energy Storage and Power Management for Typical 4Q-Load.		2009
21351	A Simple Offline Technique for Evaluating the Condition of Aluminum-Electrolytic-Capacitors.		2009
21352	Static-, Dynamic-, and Mixed-Eccentricity Fault Diagnoses in Permanent-Magnet Synchronous Motors.		2009
21353	Electronic Control of a Motorcycle Suspension for Preload Self-Adjustment.		2008
21354	Permanent Magnet Machines for Modulated Damping of Seismic Vibrations: Electrical and Thermal Modeling.		2008
21355	A Control Circuit With Load-Current Injection for Single-Phase Power-Factor-Correction Rectifiers.		2007
21356	Reduced-order extended luenberger observer based sensorless vector control driven by matrix converter with nonlinearity compensation.		2006
21357	Three-Dimensional RF MEMS Switch for Power Applications.		2009
21358	Control Design Guidelines for Single-Phase Grid-Connected Photovoltaic Inverters With Damped Resonant Harmonic Compensators.		2009
21359	Microscale Liquid-Metal Switches - A Review.		2009
21360	Dynamic and Vibration Analysis of a Multimotor DC Drive System With Elastic Shafts Driving a Tissue Paper Machine.		2007
21361	Induction-motor sensorless vector control with online parameter estimation and overcurrent protection.		2006
21362	Sliding Transformer With Long Magnetic Circuit for Contactless Electrical Energy Delivery to Mobile Receivers.		2006
21363	Dual Direct Torque Control of Doubly Fed Induction Machine.		2007
21364	Modeling and Performance Analysis of the DC/DC Series-Parallel Resonant Converter Operating With Discrete Self-Sustained Phase-Shift Modulation Technique.		2009
21365	Development of a Methodology for Improving Photovoltaic Inverter Reliability.		2008
21366	Design and Application of Stable Predictive Controller Using Recurrent Wavelet Neural Networks.		2009
21367	Velocity Estimation by Using Position and Acceleration Sensors.		2007
21368	Practical Controller Design of Hybrid Experimental System for Seismic Tests.		2009
21369	Adaptive resonant mode compensation for hard disk drives.		2006
21370	Three-Level NPC Converter-Based Predictive Direct Power Control of the Doubly Fed Induction Machine at Low Constant Switching Frequency.		2008
21371	A Highly Manufacturable Large Area Array MEMS Probe Card Using Electroplating and Flipchip Bonding.		2009
21372	High-Bandwidth Multisampled Digitally Controlled DC-DC Converters Using Ripple Compensation.		2008
21373	A Novel Monitoring of Load Level and Broken Bar Fault Severity Applied to Squirrel-Cage Induction Motors Using a Genetic Algorithm.		2009
21374	Locating Phase-to-Ground Short-Circuit Faults on Radial Distribution Lines.		2007
21375	Design strategy of an adaptive full-order observer for speed-sensorless induction-motor Drives-tracking performance and stabilization.		2006
21376	A High-Efficiency Multimode Li-Ion Battery Charger With Variable Current Source and Controlling Previous-Stage Supply Voltage.		2009
21377	Dynamic Slip-Ratio Estimation and Control of Antilock Braking Systems Using an Observer-Based Direct Adaptive Fuzzy-Neural Controller.		2009
21378	Remote Laboratory for Experimentation With Multilevel Power Converters.		2009
21379	Induction Machine Condition Monitoring Using Neural Network Modeling.		2007
21380	Transforming Traditional Iris Recognition Systems to Work in Nonideal Situations.		2009
21381	Manufacturing of a Hybrid Acoustic Transmitter Using an Advanced Microassembly System.		2009
21382	Digital Control of a Low-Frequency Square-Wave Electronic Ballast With Resonant Ignition.		2008
21383	A Neural Network Assisted Cascade Control System for Air Handling Unit.		2007
21384	Automatic Mode Matching in MEMS Vibrating Gyroscopes Using Extremum-Seeking Control.		2009
21385	Dynamical Characterization of Input-Voltage-Feedforward-Controlled Buck Converter.		2007
21386	An FPGA Implementation of a Digital Coriolis Mass Flow Metering Drive System.		2008
21387	High Power Factor Electronic Ballast for Fluorescent Lamps With Reduced Input Filter and Low Cost of Implementation.		2008
21388	Reduced-Switch-Count Six-Leg Converters for Three-Phase-to-Three-Phase/Four-Wire Applications.		2007
21389	Abstraction and Reproduction of Force Sensation From Real Environment by Bilateral Control.		2007
21390	Sliding-Mode Flux Observer With Online Rotor Parameter Estimation for Induction Motors.		2007
21391	Intelligent Decoupling Control of Gas Collection Process of Multiple Asymmetric Coke Ovens.		2009
21392	Development of a Biofeedback Therapeutic-Exercise-Supporting Manipulator.		2009
21393	Extending Vehicular CAN Fieldbuses With Delay-Tolerant Networks.		2008
21394	Water bath temperature control by a recurrent fuzzy controller and its FPGA implementation.		2006
21395	Robotic Software Architecture for Multisensor Fusion System.		2009
21396	Experimental Analysis of an Internet-Based Bilateral Teleoperation System With Motion and Force Scaling Using a Model Predictive Controller.		2008
21397	Lamp Improved Arrangement in the Half-Bridge Topology.		2006
21398	Predictive Current Control for Multilevel Active Rectifiers With Reduced Switching Frequency.		2008
21399	One-Cycle-Controlled Bidirectional AC-to-DC Converter With Constant Power Factor.		2009
21400	Orbital Stabilization of Inverted-Pendulum Systems via Coupled Sliding-Mode Control.		2009
21401	An Ultrahigh-Speed, Low Power Electrical Drive System.		2008
21402	Reaching Criterion of a Three-Phase Voltage-Source Inverter Operating With Passive and Nonlinear Loads and Its Impact on Global Stability.		2008
21403	A Mixed-Signal Synchronous/Asynchronous Control for High-Frequency DC-DC Boost Converters.		2008
21404	Predictive Control of a Three-Phase Neutral-Point-Clamped Inverter.		2007
21405	Augmented Stable Fuzzy Control for Flexible Robotic Arm Using LMI Approach and Neuro-Fuzzy State Space Modeling.		2008
21406	Micropeg and Hole Alignment Using Image Moments Based Visual Servoing Method.		2008
21407	A Comparative Study of Zero-Current-Transition PWM Converters.		2007
21408	A Discrete-Time Terminal Sliding-Mode Control Approach Applied to a Motion Control Problem.		2009
21409	Two-Stage Uninterruptible Power Supply With High Power Factor.		2008
21410			2009
21411	T-S Model-Based SMC Reliable Design for a Class of Nonlinear Control Systems.		2009
21412	Unidimensional Modulation Technique for Cascaded Multilevel Converters.		2009
21413	An Advanced SVPWM-Based Predictive Current Controller for Three-Phase Inverters in Distributed Generation Systems.		2008
21414	Frequency-Synchronized Resonant Converters for the Supply of Multiwinding Coils in Induction Cooking Appliances.		2007
21415	Optimizing the Design of Single-Stage Power-Factor Correctors.		2007
21416	A Fully Integrated 900-MHz Passive RFID Transponder Front End With Novel Zero-Threshold RF-DC Rectifier.		2009
21417	Sensorless control of induction Machines at zero and low frequency using zero sequence currents.		2006
21418	Selective Compensation in Four-Wire Electric Systems Based on a New Equivalent Conductance Approach.		2009
21419	New Maximum Power Point Tracker Using Sliding-Mode Observer for Estimation of Solar Array Current in the Grid-Connected Photovoltaic System.		2006
21420	-positive real problem for sensorless induction-motor drives.		2006
21421	Linear Phase Lead Compensation Repetitive Control of a CVCF PWM Inverter.		2008
21422	Active-Clamped Ripple-Free DC/DC Converter Using an Input-Output Coupled Inductor.		2008
21423	Dual Series-Resonant Active-Clamp Converter.		2008
21424	Low-Complexity MPPT Technique Exploiting the PV Module MPP Locus Characterization.		2009
21425	High-Power-Factor Electronic Ballast With Intelligent Energy-Saving Control for Ultraviolet Drinking-Water Treatment Systems.		2008
21426	Space Vector Sequence Investigation and Synchronization Methods for Active Front-End Rectifiers in High-Power Current-Source Drives.		2008
21427	Adaptive Sliding-Mode Control of Piezoelectric Actuators.		2009
21428	Comparison Between Stator Current and Estimated Mechanical Speed for the Detection of Bearing Wear in Asynchronous Drives.		2009
21429	A Tubular-Generator Drive For Wave Energy Conversion.		2006
21430	Frequency-Shaped Sliding Mode Control Using Output Sampled Measurements.		2009
21431	The Impact of Circuit Variables on the Starting Performance of Field-Aligned Starting.		2009
21432	Study of the Effect and Design Criteria of the Input Filter for Buck Converters With Peak Current-Mode Control Using a Novel System Block Diagram.		2008
21433	A Long-Range UHF-Band Passive RFID Tag IC Based on High- Q Design Approach.		2009
21434	Efficiency Analysis of PWM Inverter Fed Three-Phase and Dual Three-Phase High Frequency Induction Machines for Low/Medium Power Applications.		2008
21435	Design and Implementation of Web-Based Control Laboratory for Test Rigs in Geographically Diverse Locations.		2008
21436	High-performance speed servo system considering Voltage saturation of a vector-controlled induction motor.		2006
21437	Learning more frequency components using P-type ILC with negative learning gain.		2006
21438	Voltage-Constraint-Tracking-Based Field-Weakening Control of IPM Synchronous Motor Drives.		2008
21439	Reliability Issues in Photovoltaic Power Processing Systems.		2008
21440	Robust Fuzzy Neural Network Sliding-Mode Control for Two-Axis Motion Control System.		2006
21441	Model Predictive Control of an Asymmetric Flying Capacitor Converter.		2009
21442	Framework and Research Methodology of Short-Timescale Pulsed Power Phenomena in High-Voltage and High-Power Converters.		2009
21443	A Real-Time Extraction of Harmonic and Reactive Current in a Nonlinear Load for Grid-Connected Converters.		2009
21444	Sliding-Mode Control Scheme for an Intelligent Bicycle.		2009
21445	Hand-Eye Calibration Applied to Viewpoint Selection for Robotic Vision.		2008
21446	Current Harmonic Compensation by a Single-Phase Shunt Active Power Filter Controlled by Adaptive Neural Filtering.		2009
21447	FPGA-Based Power Measuring for Induction Heating Appliances Using Sigma-Delta A/D Conversion.		2007
21448	Hybrid rotor position observer for wide speed-range sensorless PM motor drives including zero speed.		2006
21449	Practical Implementation of a High-Frequency Current-Sense Technique for VRM.		2008
21450	Sensor Reduction for Backing-Up Control of a Vehicle With Triple Trailers.		2009
21451	Energy-Balance Modeling and Discrete Control for Single-Phase Grid-Connected PV Central Inverters.		2008
21452	Modeling Strategy for Back-to-Back Three-Level Converters Applied to High-Power Wind Turbines.		2006
21453	Models for Bearing Damage Detection in Induction Motors Using Stator Current Monitoring.		2008
21454	Explicit Model Predictive Control of DC-DC Switched-Mode Power Supplies With Extended Kalman Filtering.		2009
21455	Design of Spring Coupling for High- Q High-Frequency MEMS Filters for Wireless Applications.		2009
21456	Vision-Based 2-D Automatic Micrograsping Using Coarse-to-Fine Grasping Strategy.		2008
21457	Development of Wireless MEMS Inclination Sensor System for Swing Monitoring of Large-Scale Hook Structures.		2009
21458	Hardware Implementation of a Real-Time Neural Network Controller With a DSP and an FPGA for Nonlinear Systems.		2007
21459	A Simple Method to Improve the Dynamic Response of Single-Phase PWM Rectifiers.		2008
21460	A Two-Stage ADALINE for Harmonics and Interharmonics Measurement.		2009
21461	 1 Harmonic Components.		2008
21462	A Novel Approach Toward Interpretation and Application of Voltage Unbalance Factor.		2007
21463	The Capacity Optimization for the Static Excitation Controller of the Dual-Stator-Winding Induction Generator Operating in a Wide Speed Range.		2009
21464	Unsupervised Neural-Network-Based Algorithm for an On-Line Diagnosis of Three-Phase Induction Motor Stator Fault.		2007
21465	Reliability Considerations for Parallel Performance of Semiconductor Switches in High-Power Switching Power Supplies.		2009
21466	Adaptive Observer for Sensorless Control of Stand-Alone Doubly Fed Induction Generator.		2009
21467	Optimization Using a Modified Second-Order Approach With Evolutionary Enhancement.		2008
21468	Noise Source Lumped Circuit Modeling and Identification for Power Converters.		2006
21469	Whole-Body Force Sensation by Force Sensor With Shell-Shaped End-Effector.		2009
21470	A Dual Five-Level Inverter-Fed Induction Motor Drive With Common-Mode Voltage Elimination and DC-Link Capacitor Voltage Balancing Using Only the Switching-State Redundancy - Part II.		2007
21471			2006
21472	Vision-Servo System for Automated Cell Injection.		2009
21473	Effects of Reader-to-Reader Interference on the UHF RFID Interrogation Range.		2009
21474	A Stability Control by Active Angle Control of Front-Wheel in a Vehicle System.		2008
21475	Sliding-Mode Tracking Control of Surface Vessels.		2008
21476	A Robust Phase-Locked Loop Algorithm to Synchronize Static-Power Converters With Polluted AC Systems.		2008
21477	A Fast Transient Recovery Module for DC-DC Converters.		2009
21478	An Optimal Control Technique for Multiphase PM Machines Under Open-Circuit Faults.		2008
21479	A Modified Valley Fill Electronic Ballast Having a Current Source Resonant Inverter With Improved Line-Current Total Harmonic Distortion (THD), High Power Factor, and Low Lamp Crest Factor.		2008
21480	A New Multilevel Conversion Structure for Grid-Connected PV Applications.		2009
21481	Servo Performance Enhancement of Motion System via a Quantization Error Estimation Method - Introduction to Nanoscale Servo Control.		2009
21482	Stator-Flux-Oriented Vector Control for Brushless Doubly Fed Induction Generator.		2009
21483	A Compact Digitally Controlled Fuel Cell/Battery Hybrid Power Source.		2006
21484	Large-Signal Model for the Stability Analysis of Matrix Converters.		2007
21485	Performance Evaluation of Switch Devices Equipped in High-Power Three-Level Inverters.		2007
21486	Robust Design of RF-MEMS Cantilever Switches Using Contact Physics Modeling.		2009
21487	Neuro-Fuzzy Dynamic-Inversion-Based Adaptive Control for Robotic Manipulators - Discrete Time Case.		2007
21488	Multilevel Multiphase Space Vector PWM Algorithm.		2008
21489	Optimal Design of ICPT Systems Applied to Electric Vehicle Battery Charge.		2009
21490	High Efficiency Active Clamp Forward Converter for Sustaining Power Module of Plasma Display Panel.		2008
21491	Power Injection System for Grid-Connected Photovoltaic Generation Systems Based on Two Collaborative Voltage Source Inverters.		2009
21492	Self-Driven Synchronous Rectification System With Input Voltage Tracking for Converters With a Symmetrically Driven Transformer.		2009
21493	Practical Pinch Detection Algorithm for Smart Automotive Power Window Control Systems.		2008
21494	The Use of Genetic Algorithms for the Design of Resonant Compensators for Active Filters.		2009
21495	FPGA Design Methodology for Industrial Control Systems - A Review.		2007
21496	Control of a Hybrid Excitation Synchronous Generator for Aircraft Applications.		2008
21497	Voltage-source active power filter based on multilevel converter and ultracapacitor DC link.		2006
21498	Evaluation and Analysis of a New Solid-State Rechargeable Microscale Lithium Battery.		2008
21499	A Single-Stage High-Power-Factor Electronic Ballast With ZVS Buck-Boost Conversion.		2009
21500	Intelligent system for process supervision and fault diagnosis in dynamic physical systems.		2006
21501	Predictive Strategy to Control Common-Mode Voltage in Loads Fed by Matrix Converters.		2008
21502	Direct Current Control of a Synchronous Machine in Field Coordinates.		2009
21503			2009
21504	Switching-Frequency Control for Regulated Discontinuous-Conduction-Mode Boost Rectifiers.		2007
21505	A Control Strategy for Four-Switch Three-Phase Brushless DC Motor Using Single Current Sensor.		2009
21506	An Effective Neural Approach for the Automatic Location of Stator Interturn Faults in Induction Motor.		2008
21507	Synthesis Methodology for Multipole ZVT Converters.		2007
21508	"Comments on ""A Methodology for the Development of Distributed Real-Time Control Applications With Focus on Task Allocation in Heterogeneous Systems."		2007
21509	Fuzzy Swing-Up and Fuzzy Sliding-Mode Balance Control for a Planetary-Gear-Type Inverted Pendulum.		2009
21510	Robust tracking servo system considering force disturbance for the optical disk recording system.		2006
21511	Design and Implementation of a Robust Current-Control Scheme for a PMSM Vector Drive With a Simple Adaptive Disturbance Observer.		2007
21512	A Novel T-Connected Autotransformer-Based 18-Pulse AC-DC Converter for Harmonic Mitigation in Adjustable-Speed Induction-Motor Drives.		2007
21513	Dead-Time Elimination of PWM-Controlled Inverter/Converter Without Separate Power Sources for Current Polarity Detection Circuit.		2009
21514	Design Guidelines for Interleaved Single-Phase Boost PFC Circuits.		2009
21515	Intelligent User Support in Autonomous Remote Experimentation Environments.		2008
21516	Improvement of Performances in Bilateral Teleoperation by Using FPGA.		2007
21517	Instantaneous Frequency of the Left Sideband Harmonic During the Start-Up Transient: A New Method for Diagnosis of Broken Bars.		2009
21518	Adaptive Fuzzy Controller for Efficiency Optimization of Induction Motors.		2007
21519	FPGA-Based Real-Time Power Converter Failure Diagnosis for Wind Energy Conversion Systems.		2008
21520	Robust Model-Following Control of Parallel UPS Single-Phase Inverters.		2008
21521	Photovoltaic Power Conditioning System With Line Connection.		2006
21522	Multistring LED Backlight Driving System for LCD Panels With Color Sequential Display and Area Control.		2008
21523	Sliding-Mode-Based Control for a Three-Level Inverter Drive.		2008
21524	DTC Drives for Wide Speed Range Applications Using a Robust Flux-Weakening Algorithm.		2007
21525	A Simple Nonlinear Logical Torque Sharing Function for Low-Torque Ripple SR Drive.		2009
21526	A Petri Net Design of Command Filters for Semiautonomous Mobile Sensor Networks.		2008
21527	Current Sensor Fault Detection, Isolation, and Reconfiguration for Doubly Fed Induction Generators.		2009
21528	A New Modeling Approach of Embedded Fuel-Cell Power Generators Based on Artificial Neural Network.		2008
21529	Microhand With Internal Visual System.		2009
21530	Voltage Oscillation Reduction Technique for Phase-Shift Full-Bridge Converter.		2007
21531	Inverter Harmonic Elimination Through a Colony of Continuously Exploring Ants.		2007
21532	Dance Step Estimation Method Based on HMM for Dance Partner Robot.		2007
21533	Three-dimensional space-vector modulation algorithm for four-leg multilevel converters using abc coordinates.		2006
21534	Asymmetric Current Buildup Sustainer for AC Plasma Display Panel.		2008
21535	Friction Compensation of an XY Feed Table Using Friction-Model-Based Feedforward and an Inverse-Model-Based Disturbance Observer.		2009
21536	Novel Regenerative Braking Control of Electric Power-Assisted Wheelchair for Safety Downhill Road Driving.		2009
21537	Sliding-Mode Control for High-Precision Motion of a Piezostage.		2007
21538	Stability and Stabilization of a Class of Multimode Linear Discrete-Time Systems With Polytopic Uncertainties.		2009
21539	IGBT-Based Cost-Effective Energy-Recovery Circuit for Plasma Display Panel.		2006
21540	Mixed-Mode PWM for High-Performance Stepping Motors.		2007
21541	Position Control of an Interior Permanent-Magnet Synchronous Motor Without Using a Shaft Position Sensor.		2007
21542	A General PWM Method for a (2n + 1) -Leg Inverter Supplying n Three-Phase Machines.		2009
21543	Application of the Welch-Method for the Identification of Two- and Three-Mass-Systems.		2008
21544	Analog Circuits to Implement Repetitive Controllers With Feedforward for Harmonic Compensation.		2007
21545	A Linear Motor Design Provides Close and Secure Vehicle Separation of Many Transit Vehicles on a Guideway.		2007
